"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"12027555       ","PNSQA","Pacific Northwest Stream-Quality Assessment","PRAIRIE CR 0.7 MI UPS FR MOUTH NR GRAND MOUND, WA"," 464732.58 "," 1230204.16 ","46.7923833333333","-123.034488888889","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Thurston County","Washington","WA"
"12212450       ","PNSQA","Pacific Northwest Stream-Quality Assessment","BERTRAND CREEK AT WEST BADGER ROAD NEAR LYNDEN, WA"," 485750    "," 1223026    ","48.9637259429917","-122.508498265306","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Whatcom County","Washington","WA"
"12145970       ","PNSQA","Pacific Northwest Stream-Quality Assessment","PATTERSON CREEK ABV CANYON CREEK NR FALL CITY, WA"," 473508.23 "," 1215659.32 ","47.5856194444444","-121.949811111111","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"472131122072500","PNSQA","Pacific Northwest Stream-Quality Assessment","LITTLE SOOS CREEK ABV MOUTH NR MAPLE VALLEY"," 472131    "," 1220725    ","47.3584340406693","-122.124840071677","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","King County","Washington","WA"
"12080800       ","PNSQA","Pacific Northwest Stream-Quality Assessment","WOODLAND CREEK BELOW DRAHAM ROAD NEAR LACEY, WA"," 470349    "," 1224826    ","47.0634295781528","-122.808468704465","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Thurston County","Washington","WA"
"12118525       ","PNSQA","Pacific Northwest Stream-Quality Assessment","TAYLOR CREEK ABV 236th AVE SE AT MAPLE VALLEY, WA"," 472430.17 "," 1220135.47 ","47.4083805555556","-122.026519444444","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12121570       ","PNSQA","Pacific Northwest Stream-Quality Assessment","NORTH FORK ISSAQUAH CREEK AT ISSAQUAH, WA"," 473234.15 "," 1220205.40 ","47.5428194444444","-122.034833333333","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12073425       ","PNSQA","Pacific Northwest Stream-Quality Assessment","MINTER CREEK ABOVE HUGE CREEK NEAR WAUNA, WA"," 472323    "," 1224138    ","47.3895398782738","-122.695135125157","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Pierce County","Washington","WA"
"12121504       ","PNSQA","Pacific Northwest Stream-Quality Assessment","E FORK ISSAQUAH CR ABV 3RD AVE NE AT ISSAQUAH, WA"," 473156.76 "," 1220148.61 ","47.5324333333333","-122.030169444444","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12120600       ","PNSQA","Pacific Northwest Stream-Quality Assessment","ISSAQUAH CREEK NEAR HOBART, WA"," 472727    "," 1220014    ","47.4573236788095","-122.005117005399","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12128040       ","PNSQA","Pacific Northwest Stream-Quality Assessment","PIPERS CREEK AT CARKEEK PARK, AT SEATTLE, WA"," 474242    "," 1222220    ","47.7114865408157","-122.373462534105","Interpolated from map","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD27     ","King County","Washington","WA"
"12155050       ","PNSQA","Pacific Northwest Stream-Quality Assessment","DUBUQUE CREEK BLW PANTHER CREEK NR LK STEVENS, WA"," 475916    "," 1220159    ","47.9875981407047","-122.034296079714","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD27     ","Snohomish County","Washington","WA"
"12120500       ","PNSQA","Pacific Northwest Stream-Quality Assessment","JUANITA CREEK NEAR KIRKLAND, WA"," 474227    "," 1221251    ","47.7073207222646","-122.215402417649","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12113205       ","PNSQA","Pacific Northwest Stream-Quality Assessment","MILL CREEK AT PEASLEY CANYON RD S NR AUBURN, WA"," 471811.76 "," 1221553.60 ","47.3032666666667","-122.264888888889","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12112600       ","PNSQA","Pacific Northwest Stream-Quality Assessment","BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA"," 471845    "," 1220951    ","47.3123228948956","-122.165396004194","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12072660       ","PNSQA","Pacific Northwest Stream-Quality Assessment","OLALLA CREEK AT BURLEY OLALLA ROAD NEAR OLALLA, WA"," 472554    "," 1223429    ","47.4314857687856","-122.575965116371","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Kitsap County","Washington","WA"
"12113490       ","PNSQA","Pacific Northwest Stream-Quality Assessment","LONGFELLOW CREEK AB GENESEE ST NR WEST SEATTLE, WA"," 473347.8  "," 1222201.8  ","47.5632777777778","-122.367166666667","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 10 seconds","NAD83     ","King County","Washington","WA"
"12128000       ","PNSQA","Pacific Northwest Stream-Quality Assessment","THORNTON CREEK NEAR SEATTLE, WA"," 474145    "," 1221630    ","47.6956537828795","-122.276236841336","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12072679       ","PNSQA","Pacific Northwest Stream-Quality Assessment","CRESCENT CR AT CRESCENT VAL DR NR GIG HARBOR, WA"," 472129    "," 1223438    ","47.3578750116894","-122.578463329899","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Pierce County","Washington","WA"
"12123100       ","PNSQA","Pacific Northwest Stream-Quality Assessment","COTTAGE LAKE CREEK AB BEAR CREEK NEAR REDMOND, WA"," 474303    "," 1220507    ","47.7173213933746","-122.086512284277","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
"12212001       ","PNSQA","Pacific Northwest Stream-Quality Assessment","FISHTRAP CREEK AT AARON RD NR LYNDEN, WA"," 485745.29 "," 1222602.76 ","48.9625805555556","-122.4341","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Whatcom County","Washington","WA"
"12149490       ","PNSQA","Pacific Northwest Stream-Quality Assessment","HARRIS CREEK ABOVE NE 108TH ST NR CARNATION, WA"," 474138.07 "," 1215400.95 ","47.6939083333333","-121.900263888889","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12070000       ","PNSQA","Pacific Northwest Stream-Quality Assessment","DOGFISH CREEK NEAR POULSBO, WA"," 474511    "," 1223836    ","47.7528724128284","-122.64459333508","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Kitsap County","Washington","WA"
"12119705       ","PNSQA","Pacific Northwest Stream-Quality Assessment","COAL CREEK AT BELLEVUE, WA"," 473407    "," 1221050    ","47.5684329342691","-122.181788893927","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","NAD27     ","King County","Washington","WA"
"12124490       ","PNSQA","Pacific Northwest Stream-Quality Assessment","BEAR CREEK AT UNION HILL RD AT REDMOND, WA"," 474030.48 "," 1220625.76 ","47.6751333333333","-122.107155555556","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","King County","Washington","WA"
"12170000       ","PNSQA","Pacific Northwest Stream-Quality Assessment","CHURCH CREEK NEAR STANWOOD, WA"," 481400    "," 1221930    ","48.2331551349243","-122.326263537069","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Snohomish County","Washington","WA"
"12200017       ","PNSQA","Pacific Northwest Stream-Quality Assessment","EF NOOKACHAMPS CREEK AT HWY 9 NR CLEAR LAKE, WA"," 482645.24 "," 1221509.00 ","48.4459","-122.2525","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Skagit County","Washington","WA"
"12212895       ","PNSQA","Pacific Northwest Stream-Quality Assessment","TENMILE CREEK ABOVE FOURMILE CREEK NR FERNDALE, WA"," 485200    "," 1222856    ","48.8665010329287","-122.483499691751","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Whatcom County","Washington","WA"
"12125500       ","PNSQA","Pacific Northwest Stream-Quality Assessment","BEAR CREEK AT WOODINVILLE, WA"," 474525    "," 1220950    ","47.7567651072575","-122.16512500673","Interpolated from map","Accurate to +/- 1 second","NAD27     ","King County","Washington","WA"
