"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"68017","129618-40-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nevirapine, wf","ng/l","Nevirapine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67499","439-14-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Diazepam, w,f<0.2um","ng/l","Diazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67504","1665-48-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metaxalone, w,f<0.2um","ng/l","Metaxalone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67506","125-29-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydrocodone, w,f<0.2um","ng/l","Hydrocodone, water,filtered (0.2 micron filter0, recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67510","83799-24-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fexofenadine, w,f<0.2um","ng/l","Fexofenadine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67511","196618-13-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Oseltamivir, w,f<0.2um","ng/l","Oseltamivir, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67515","53179-11-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Loperamide, w,f<0.2um","ng/l","Loperamide, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67523","51384-51-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metoprolol, w,f<0.2um","ng/l","Metoprolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67528","79617-96-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sertraline, w,f<0.2um","ng/l","Sertraline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"68007","67018-85-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Norverapamil, wf","ng/l","Norverapamil, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68008","94-78-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Phenazopyridine, wf","ng/l","Phenazopyridine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68012","102676-47-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fadrozole, wf","ng/l","Fadrozole, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68015","10540-29-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Tamoxifen, wf","ng/l","Tamoxifen, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68252","1088-11-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nordiazepam, wf","ng/l","Nordiazepam, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67498","78-44-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Carisoprodol, w,f<0.2um","ng/l","Carisoprodol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67500","76-99-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methadone, w,f<0.2um","ng/l","Methadone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"68022","136470-78-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Abacavir, wf","ng/l","Abacavir, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68623","","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydroxyphthalazinone, wf","ng/l","Hydroxyphthalazinone, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67440","58-08-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Caffeine, w,f<0.2um","ng/l","Caffeine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"68250","28981-97-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Alprazolam, wf","ng/l","Alprazolam, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68251","93413-62-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Desvenlafaxine, wf","ng/l","Desvenlafaxine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67501","532-03-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methocarbamol, w,f<0.2um","ng/l","Methocarbamol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
